metoda,Hellwiga,zi,standaryzacja,qi'',unitaryzacja,si'',sr,od,p1,p2
1,υtwa,0.97,Szwecja,1.00,Szwecja,1.00,0.32,0.16,0.16,0.48
2,Wielka Brytania,0.50,Czechy,0.98,Niemcy,0.98,0.61,0.29,0.32,0.89
3,Dania,0.47,Niemcy,0.98,Wielka Brytania,0.97,0.59,0.29,0.30,0.88
4,Portugalia,0.43,Wielka Brytania,0.97,Czechy,0.96,NA,NA,NA,NA
5,Polska,0.41,S這wenia,0.94,S這wenia,0.94,NA,NA,NA,NA
6,Rumunia,0.40,Dania,0.88,Francja,0.85,NA,NA,NA,NA
7,Estonia,0.40,Austria,0.85,Dania,0.85,NA,NA,NA,NA
8,Czechy,0.37,Francja,0.84,Austria,0.85,NA,NA,NA,NA
9,Grecja,0.36,W這chy,0.80,Holandia,0.80,NA,NA,NA,NA
10,W這chy,0.35,Holandia,0.79,Finlandia,0.78,NA,NA,NA,NA
11,Cypr,0.33,Finlandia,0.77,W這chy,0.78,NA,NA,NA,NA
12,Belgia,0.32,υtwa,0.77,υtwa,0.71,NA,NA,NA,NA
13,Austria,0.31,Polska,0.64,Polska,0.62,NA,NA,NA,NA
14,Holandia,0.26,S這wacja,0.64,S這wacja,0.61,NA,NA,NA,NA
15,Szwecja,0.25,W璕ry,0.63,W璕ry,0.60,NA,NA,NA,NA
16,Chorwacja,0.25,Chorwacja,0.61,Hiszpania,0.59,NA,NA,NA,NA
17,Francja,0.24,Hiszpania,0.56,Chorwacja,0.58,NA,NA,NA,NA
18,W璕ry,0.24,Portugalia,0.48,Portugalia,0.46,NA,NA,NA,NA
19,S這wacja,0.24,Litwa,0.44,Litwa,0.43,NA,NA,NA,NA
20,Finlandia,0.24,Bu貪aria,0.42,Bu貪aria,0.37,NA,NA,NA,NA
21,Luksemburg,0.20,Estonia,0.41,Estonia,0.36,NA,NA,NA,NA
22,Malta,0.20,Grecja,0.35,Luksemburg,0.33,NA,NA,NA,NA
23,Niemcy,0.20,Luksemburg,0.35,Belgia,0.31,NA,NA,NA,NA
24,S這wenia,0.20,Belgia,0.32,Grecja,0.31,NA,NA,NA,NA
25,Bu貪aria,0.19,Rumunia,0.30,Rumunia,0.29,NA,NA,NA,NA
26,Irlandia,0.19,Cypr,0.18,Cypr,0.17,NA,NA,NA,NA
27,Litwa,0.19,Irlandia,0.09,Irlandia,0.06,NA,NA,NA,NA
28,Hiszpania,0.19,Malta,0.00,Malta,0.00,NA,NA,NA,NA
